store_name,storeid,addr_num,addr_st,addr_add,city,state,zip5,store_type,stype_num,store_group,stgrp_num,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,year_first,year_last,X,Y,method,match,dup,st_type,loc_id,st_fips
Angeles Mexican Store,st_251251,0,Madison Ave S,NA,Douglas,GA,31533,Medium Grocery Store,10,Grocer,1,0,0,0,1,1,1,1,1,1,1,0,2011,2017,-82.84958,31.5061,usda,NA,0,NA,L037779,13
Bubba Jax Seafood,st_212053,102,McNeil Dr,NA,Douglas,GA,31533,Seafood Specialty,13,Specialty,5,0,0,1,1,0,0,0,0,0,0,0,2010,2011,-82.84952577,31.52617273,esri,PointAddress,0,NA,L037780,13
L MART,st_062514,1434,Baker Hwy W,NA,Douglas,GA,31533,Small Grocery Store,14,Grocer,1,1,0,0,0,0,0,0,0,0,0,0,2008,2008,-82.87135686,31.49800428,esri,StreetAddress,0,NA,L037781,13
FAST CHECK 2,st_021674,609,Baker Hwy E,NA,Douglas,GA,31533,Small Grocery Store,14,Grocer,1,1,1,0,0,0,0,0,0,0,0,0,2008,2009,-82.84253164,31.50108474,esri,PointAddress,0,NA,L037782,13
Roberts Taste Of The Farm,st_276766,514,Peterson Ave S,NA,Douglas,GA,31533,Small Grocery Store,14,Grocer,1,0,0,0,0,1,1,0,0,0,0,0,2012,2013,-82.85050252,31.50320676,esri,StreetAddress,0,NA,L037778,13
SUPER MERCADO TARAHUMARA,st_062214,1300,Ward St E,NA,Douglas,GA,31533,Small Grocery Store,14,Grocer,1,1,1,1,1,1,1,1,1,1,1,0,2008,2017,-82.834,31.50828,usda,NA,0,NA,L037783,13
WINN-DIXIE 0178,st_088208,1312,Madison Ave S,NA,Douglas,GA,31533,Supermarket,16,Supermarket,6,1,1,1,1,0,0,0,0,0,0,0,2008,2011,-82.85085801,31.49022627,esri,StreetAddress,0,NA,L037784,13
HARVEY'S SUPERMARKET 2306,st_088204,813,Peterson Ave S,NA,Douglas,GA,31533,Supermarket,16,Supermarket,6,1,1,1,1,1,1,0,0,0,0,0,2008,2013,-82.85080159,31.49926621,esri,StreetAddress,0,NA,L037785,13
HARVEY'S SUPERMARKET 2373,st_101223,901,Ward St W,NA,Douglas,GA,31533,Supermarket,16,Supermarket,6,1,1,1,1,1,1,0,0,0,0,0,2008,2013,-82.86108203,31.50928946,esri,PointAddress,0,NA,L037786,13
WALGREEN 06896,st_018368,9465,Highway 5,NA,Douglasville,GA,30135,Combination Grocery/Other,2,Small retail,4,1,1,1,0,0,0,0,0,0,0,0,2008,2010,-84.76227557,33.725322,esri,PointAddress,0,NA,L037787,13
Food Mart 551,st_210649,5652,Fairburn Rd,NA,Douglasville,GA,30134,Combination Grocery/Other,2,Small retail,4,0,0,1,0,0,0,0,0,0,0,0,2010,2010,-84.71948726,33.75090135,esri,StreetAddress,0,NA,L037788,13
FOOD MART 551-SHELL,st_259111,5652,HWY 92,NA,DOUGLASVILLE,GA,30134,Combination Grocery/Other,2,Small retail,4,0,0,0,1,1,0,0,0,0,0,0,2011,2012,-84.71948726,33.75090135,esri,StreetAddress,0,NA,L037789,13
FOREVER BABY,st_222498,6089,Fairburn Rd,NA,Douglasville,GA,30134,Combination Grocery/Other,2,Small retail,4,0,0,1,1,0,0,0,0,0,0,0,2010,2011,-84.73174736,33.75113278,esri,StreetAddress,0,NA,L037790,13
FREDS STORE 1473,st_016546,5793,Fairburn Rd,NA,Douglasville,GA,30134,Combination Grocery/Other,2,Small retail,4,1,1,1,1,1,1,1,0,0,0,0,2008,2014,-84.72415015,33.75125676,esri,StreetAddress,0,NA,L037791,13
Lullaby Variety Store,st_194475,5848,Bankhead Hwy,Ste B,Douglasville,GA,30134,Combination Grocery/Other,2,Small retail,4,0,1,1,1,1,1,0,0,0,0,0,2009,2013,-84.72621261,33.76224966,esri,PointAddress,0,NA,L037792,13
J & J CARIABBEAN MARKETPLACE,st_212848,5848,Bankhead Hwy,Ste D,Douglasville,GA,30134,Combination Grocery/Other,2,Small retail,4,0,0,1,1,1,1,0,0,0,0,0,2010,2013,-84.72621261,33.76224966,esri,PointAddress,0,NA,L037792,13
Akmals Crossroads,st_303388,7026,Highway 5,NA,Douglasville,GA,30135,Convenience Store,3,Small retail,4,0,0,0,0,0,1,1,0,0,0,0,2013,2014,-84.83660682,33.61393454,esri,PointAddress,0,NA,L037793,13
Welcome Food Mart,st_249266,8391,Highway 166,NA,Douglasville,GA,30135,Convenience Store,3,Small retail,4,0,0,0,1,1,0,0,0,0,0,0,2011,2012,-84.84948245,33.61940053,esri,PointAddress,0,NA,L037794,13
A&s Llc,st_416301,4917,Highway 5,NA,Douglasville,GA,30135,Convenience Store,3,Small retail,4,0,0,0,0,0,0,0,0,0,1,0,2017,2017,-84.80553,33.67209,usda,NA,0,NA,L037795,13
Kings Food Mart,st_312622,4661,Kings Hwy,NA,Douglasville,GA,30135,Convenience Store,3,Small retail,4,0,0,0,0,0,1,1,1,1,1,0,2013,2017,-84.77537,33.67912,usda,NA,0,NA,L037796,13
MRS ROGERS NEIGHBORHOOD STORE,st_017757,4081,Anneewakee Rd,NA,Douglasville,GA,30135,Convenience Store,3,Small retail,4,1,1,1,0,0,0,0,0,0,0,0,2008,2010,-84.699612,33.69247452,esri,PointAddress,0,NA,L037797,13
Shell Food Mart,st_237343,4081,Anneewakee Rd,NA,Douglasville,GA,30135,Convenience Store,3,Small retail,4,0,0,0,1,1,1,1,0,0,0,0,2011,2014,-84.699612,33.69247452,esri,PointAddress,0,NA,L037797,13
DOLLAR WORLD,st_064718,4040,CHAPEL HILL ROAD,NA,DOUGLASVILLE,GA,30135,Convenience Store,3,Small retail,4,1,1,1,1,0,0,0,0,0,0,0,2008,2011,-84.71601699,33.69612336,esri,PointAddress,0,NA,L037798,13
FAST & FRIENDLY FOOD MART,st_234595,3981,Highway 5,NA,Douglasville,GA,30135,Convenience Store,3,Small retail,4,0,0,0,1,1,1,1,0,0,0,0,2011,2014,-84.78922051,33.69817342,esri,PointAddress,0,NA,L037799,13
